 ,X_(px),Y_(px),Frame_Number,X_(nm),X_loc_error(nm),Y_(nm),Y_loc_error(nm),Z_(nm),Z_loc_error(nm),Amplitude_fit,Amp_error,BGfit,BGfit_error,SD_X_(nm),SD_X_error(nm),SD_Y_(nm),SD_Y_error(nm),False_positive,IntegratedInt,SNR,R2_fit,Iterations_fit
5559,222.96,80.42,608,37903.82,12.04,13670.77,14.57,0,0,203.25,8.93,456.90,2.43,211.25,10.61,255.61,12.83,0,1839.65,6.11,0.75,3
5560,229.42,69.43,608,39000.70,17.79,11802.30,14.08,0,0,182.53,15.00,458.79,2.39,163.82,15.22,122.64,10.55,1,1655.25,7.10,0.52,5
5561,29.84,247.69,609,5072.69,4.96,42107.52,5.16,0,0,624.44,17.48,435.72,2.68,137.30,4.47,140.72,4.37,1,3809.98,15.25,0.90,5
5562,89.95,195.42,609,15292.14,6.56,33221.53,7.85,0,0,376.23,12.11,437.68,2.33,157.26,5.81,187.43,6.82,1,2880.79,12.37,0.87,4
5563,104.53,69.05,609,17769.80,4.74,11737.79,5.48,0,0,572.43,13.50,460.29,2.50,153.14,4.01,177.96,4.77,1,5117.62,19.98,0.92,5
5564,122.44,101.07,609,20815.36,21.66,17182.13,24.87,0,0,164.44,15.96,455.30,3.32,171.25,18.77,196.78,21.67,1,1854.56,8.79,0.42,5
5565,29.80,247.70,610,5066.19,6.80,42108.52,6.13,0,0,478.49,14.57,431.49,2.65,171.16,5.91,153.96,5.27,1,2336.83,13.84,0.88,4
5566,89.91,195.28,610,15284.80,7.35,33197.05,6.76,0,0,460.07,18.02,450.46,2.75,145.34,6.61,131.68,5.75,1,3022.92,12.67,0.83,5
5567,154.28,132.79,610,26227.26,11.63,22573.69,11.57,0,0,266.79,13.19,471.83,2.68,180.56,10.12,179.59,10.07,1,905.67,8.16,0.73,4
5568,192.28,84.45,610,32688.44,9.90,14356.22,16.80,0,0,264.59,11.76,470.44,3.04,171.73,8.70,291.03,14.79,1,2256.29,7.67,0.75,4
5569,193.79,76.56,610,32943.97,18.93,13016.00,17.59,0,0,170.29,11.14,475.94,2.77,222.79,16.60,207.00,15.43,0,350.48,3.57,0.58,4
5570,215.50,70.41,610,36634.83,13.35,11969.03,14.88,0,0,212.47,13.32,466.27,2.58,162.96,11.46,182.03,12.91,1,1875.65,7.20,0.63,4
5571,226.72,52.20,610,38542.69,13.57,8874.02,11.91,0,0,231.33,13.71,466.76,2.53,175.70,11.77,154.42,10.41,1,2021.17,5.97,0.66,4
5572,244.73,174.68,610,41604.24,16.12,29695.93,13.03,0,0,194.02,12.73,489.06,2.42,188.39,14.00,151.93,11.19,1,705.40,5.82,0.61,4
5573,20.04,251.13,611,3406.06,3.38,42692.22,3.59,0,0,974.41,17.37,435.34,2.91,147.38,3.05,155.41,3.16,1,0.00,0.00,0.96,4
