 ,X_(px),Y_(px),Frame_Number,X_(nm),X_loc_error(nm),Y_(nm),Y_loc_error(nm),Z_(nm),Z_loc_error(nm),Amplitude_fit,Amp_error,BGfit,BGfit_error,SD_X_(nm),SD_X_error(nm),SD_Y_(nm),SD_Y_error(nm),False_positive,IntegratedInt,SNR,R2_fit,Iterations_fit
14828,146.19,14.44,2472,24852.33,5.00,2455.17,5.55,0,0,679.07,16.06,441.97,3.08,162.41,4.36,179.94,4.81,1,3836.56,19.70,0.92,4
14829,244.84,174.66,2472,41623.29,11.16,29692.50,11.30,0,0,238.26,12.00,479.03,2.31,170.09,9.73,172.07,9.79,1,2911.29,6.63,0.72,4
14830,146.21,14.47,2473,24854.99,4.28,2460.61,4.29,0,0,712.72,14.26,445.09,2.62,164.21,3.73,164.03,3.68,1,4919.65,23.83,0.94,4
14831,80.43,96.74,2474,13673.02,22.54,16445.55,16.98,0,0,140.28,9.66,432.23,2.45,252.14,19.78,189.98,14.92,1,1346.00,5.01,0.55,3
14832,120.42,249.45,2474,20471.73,11.36,42406.21,13.17,0,0,272.25,16.10,454.49,2.83,145.56,9.47,170.07,11.34,1,0.00,0.00,0.66,4
14833,146.16,14.39,2474,24846.86,4.19,2446.60,4.32,0,0,748.86,14.39,441.99,2.75,167.45,3.66,172.28,3.73,1,5203.02,27.30,0.95,4
14834,243.49,120.68,2474,41392.97,10.23,20515.23,12.06,0,0,273.44,14.27,497.35,2.59,148.83,8.57,176.76,10.44,1,1842.17,10.08,0.71,5
14835,80.62,96.51,2475,13705.57,29.24,16407.19,16.90,0,0,122.35,7.67,426.12,2.49,357.98,26.76,209.38,15.07,1,2489.15,4.91,0.56,4
14836,120.52,249.50,2475,20489.09,13.47,42414.46,18.35,0,0,192.26,12.99,450.84,2.61,151.79,11.39,207.98,15.96,1,0.00,0.00,0.59,4
14837,146.06,14.47,2475,24829.98,3.86,2459.38,4.38,0,0,713.35,13.89,437.16,2.52,152.94,3.43,172.55,3.78,1,4038.33,24.50,0.95,4
14838,243.53,120.66,2475,41399.43,6.83,20512.19,8.29,0,0,343.35,12.70,498.48,2.18,138.08,5.51,170.95,7.16,1,2217.71,10.93,0.83,4
14839,247.26,135.12,2475,42033.66,7.03,22970.63,7.25,0,0,542.09,18.56,507.65,3.32,157.58,6.09,162.84,6.35,1,3648.46,18.17,0.85,4
14840,120.50,249.36,2476,20485.83,11.76,42390.85,10.71,0,0,256.14,14.92,448.76,2.42,153.12,9.91,138.49,8.86,1,0.00,0.00,0.67,5
14841,146.18,14.37,2476,24851.45,6.19,2442.89,6.48,0,0,529.43,15.16,441.33,2.89,166.05,5.40,173.59,5.61,1,4089.94,14.42,0.89,4
14842,244.64,174.68,2476,41588.77,13.00,29696.02,11.51,0,0,247.29,13.89,482.45,2.60,177.28,11.26,156.72,9.91,1,771.58,7.58,0.68,5
14843,146.19,14.54,2477,24852.47,5.96,2472.00,5.90,0,0,550.85,15.07,436.45,2.81,167.19,5.19,164.97,5.07,1,3768.04,18.49,0.90,4
14844,77.54,97.18,2478,13182.64,11.38,16521.39,11.27,0,0,296.34,13.74,436.62,2.93,188.48,9.91,186.70,9.83,1,2994.52,11.57,0.75,4
14845,120.41,249.51,2478,20470.08,11.72,42415.96,11.43,0,0,265.62,15.05,444.84,2.62,157.64,10.00,153.46,9.66,1,0.00,0.00,0.68,5
14846,146.20,14.49,2478,24853.35,4.53,2463.91,4.72,0,0,670.21,15.58,444.21,2.64,149.48,3.96,154.64,3.99,1,4123.79,21.24,0.93,4
14847,244.79,174.69,2478,41614.86,13.46,29697.49,11.87,0,0,275.83,17.32,484.69,2.97,164.17,11.69,144.05,10.10,1,1311.56,9.29,0.64,4
14848,77.33,97.66,2479,13146.73,10.82,16601.98,9.64,0,0,309.88,13.66,435.37,2.74,188.43,9.41,167.69,8.35,1,2696.00,8.83,0.77,5
14849,146.25,14.46,2479,24862.58,5.23,2458.34,5.50,0,0,572.88,14.69,441.86,2.63,156.47,4.54,164.23,4.72,1,3213.00,20.05,0.91,4
14850,247.76,67.86,2479,42119.78,9.79,11536.71,10.78,0,0,295.50,11.92,483.13,2.66,186.53,8.55,205.53,9.42,1,1980.94,12.25,0.80,5
14851,54.95,231.35,2480,9341.09,6.20,39329.40,6.16,0,0,536.64,13.36,440.45,2.90,191.28,5.41,190.08,5.37,1,5019.38,19.38,0.91,4
14852,120.28,249.44,2480,20447.43,8.09,42404.05,7.16,0,0,393.77,16.01,451.07,2.50,150.96,6.95,128.97,5.55,1,0.00,0.00,0.81,5
14853,146.20,14.44,2480,24854.33,4.92,2454.53,5.31,0,0,590.70,14.36,440.99,2.59,155.55,4.30,167.31,4.57,1,4444.85,20.27,0.92,4
14854,244.68,174.74,2480,41596.22,12.19,29705.77,10.79,0,0,256.05,14.66,487.67,2.50,162.95,10.51,144.19,9.32,1,1393.00,8.80,0.68,4
14855,247.25,63.12,2480,42033.27,4.27,10730.42,4.80,0,0,827.08,16.60,477.20,3.23,163.26,3.71,183.51,4.18,1,4640.69,21.24,0.94,4
14856,146.20,14.45,2481,24853.39,4.10,2456.58,4.72,0,0,635.32,13.36,442.60,2.40,149.86,3.59,172.06,4.07,1,5088.62,24.41,0.94,4
14857,220.56,248.61,2481,37495.53,26.53,42263.63,9.76,0,0,293.03,14.12,479.66,4.04,401.45,25.61,156.29,8.47,1,0.00,0.00,0.71,5
14858,228.88,57.11,2481,38909.04,8.35,9708.86,9.28,0,0,414.17,17.74,469.79,3.13,150.56,7.41,166.61,8.10,1,2994.15,12.80,0.79,4
14859,244.68,174.64,2481,41596.40,16.24,29689.63,17.60,0,0,200.34,14.86,487.30,2.93,167.98,14.08,182.03,15.28,1,2909.98,8.15,0.55,5
14860,247.34,63.25,2481,42048.58,2.15,10751.80,2.41,0,0,1301.10,14.36,476.52,2.53,148.22,1.82,167.06,2.09,1,7560.56,37.62,0.98,5
14861,120.34,249.33,2482,20458.39,12.47,42386.49,12.51,0,0,214.99,14.54,454.18,2.25,139.09,10.38,139.66,10.46,1,0.00,0.00,0.61,5
14862,146.20,14.45,2482,24853.70,4.64,2457.19,5.22,0,0,616.03,14.91,440.43,2.59,147.50,4.07,165.12,4.48,1,4449.79,20.26,0.92,4
14863,210.34,231.65,2482,35758.47,24.12,39380.40,25.22,0,0,152.46,9.01,470.86,3.61,318.95,22.00,332.75,23.11,0,3005.81,3.74,0.53,4
14864,247.29,63.19,2482,42039.46,2.09,10741.84,2.12,0,0,1497.20,16.02,483.44,2.69,149.75,1.80,151.98,1.85,1,7304.54,43.55,0.98,5
14865,60.73,116.77,2483,10324.72,13.53,19851.38,15.61,0,0,214.40,13.02,424.82,2.71,171.10,11.78,197.42,13.60,1,2139.75,8.86,0.64,4
14866,146.19,14.39,2483,24851.70,5.70,2446.52,6.58,0,0,563.04,17.19,453.54,2.95,143.91,5.04,165.17,5.66,1,4798.02,18.37,0.88,5
14867,207.35,175.64,2483,35250.21,9.55,29859.22,11.35,0,0,337.20,16.61,479.40,3.00,147.67,8.09,176.26,9.82,1,2105.02,11.94,0.74,4
14868,247.21,63.44,2483,42025.09,5.02,10784.68,5.64,0,0,598.16,16.75,469.81,2.70,138.07,4.43,153.60,4.77,1,1898.42,19.74,0.90,4
14869,60.72,116.65,2484,10323.00,11.31,19830.18,12.82,0,0,265.61,15.76,432.09,2.73,145.68,9.73,165.31,11.04,1,1269.27,8.74,0.67,5
14870,120.14,249.47,2484,20424.32,9.86,42409.43,11.03,0,0,279.89,15.02,452.20,2.49,142.13,8.85,157.15,9.37,1,0.00,0.00,0.71,4
14871,146.26,14.49,2484,24864.45,4.40,2462.95,5.15,0,0,601.02,13.64,451.02,2.45,148.57,3.81,173.75,4.45,1,3980.00,18.52,0.93,4
14872,207.34,175.78,2484,35248.41,3.39,29882.24,3.29,0,0,937.87,16.37,495.26,2.66,147.90,2.87,144.34,2.87,1,4855.29,28.37,0.96,5
14873,146.13,14.41,2485,24841.75,5.07,2448.91,5.34,0,0,574.25,13.62,437.13,2.58,164.43,4.44,172.73,4.62,1,3720.81,19.51,0.92,4
14874,207.27,175.58,2485,35236.63,3.49,29849.02,3.34,0,0,829.56,14.00,497.74,2.41,158.12,3.01,150.54,2.82,1,5824.65,28.37,0.96,4
14875,245.59,63.43,2485,41751.04,13.60,10782.27,18.63,0,0,167.37,10.44,465.94,2.34,167.33,11.80,229.44,16.27,1,1039.19,5.24,0.62,4
14876,146.31,14.46,2486,24873.42,4.10,2458.93,4.62,0,0,618.26,12.10,443.91,2.32,160.29,3.54,180.88,4.00,1,4939.31,23.67,0.95,4
14877,207.38,175.66,2486,35254.04,4.03,29862.82,3.70,0,0,863.10,16.58,496.71,2.83,159.93,3.45,146.40,3.13,1,4448.60,26.75,0.95,5
14878,146.11,14.39,2487,24839.29,4.79,2447.06,5.36,0,0,513.31,11.89,448.08,2.24,159.18,4.21,177.51,4.64,1,5233.96,19.78,0.93,4
14879,207.34,175.62,2487,35247.65,3.39,29855.82,3.31,0,0,1004.33,17.75,502.41,2.83,145.30,2.86,141.08,2.74,1,5314.73,31.14,0.96,5
14880,244.57,174.80,2487,41577.44,12.50,29716.28,13.17,0,0,257.90,14.93,478.80,2.85,165.29,10.76,174.44,11.45,1,1307.94,9.36,0.67,4
14881,246.61,51.63,2487,41923.83,13.11,8776.30,15.01,0,0,236.34,11.52,467.11,2.97,207.23,11.52,237.27,13.19,0,1908.73,7.29,0.71,3
14882,146.29,14.42,2488,24869.02,5.70,2451.82,6.24,0,0,562.74,14.95,437.79,2.90,164.50,4.94,180.10,5.41,1,4082.94,16.74,0.90,4
14883,207.33,175.57,2488,35246.03,3.68,29846.69,3.75,0,0,978.61,18.66,496.85,3.08,146.72,3.12,149.23,3.15,1,5150.35,33.73,0.95,5
14884,226.49,52.76,2488,38503.32,15.15,8969.13,12.79,0,0,244.46,16.32,466.41,2.91,173.85,13.08,146.98,11.12,1,775.90,8.29,0.61,4
14885,248.38,52.31,2488,42223.88,11.76,8893.13,9.69,0,0,269.45,11.36,469.90,2.52,214.52,10.27,176.59,8.45,1,3412.04,8.84,0.78,4
14886,74.50,92.81,2489,12665.08,13.83,15778.02,14.71,0,0,187.68,8.52,423.48,2.44,235.26,12.22,250.15,12.99,0,1687.48,5.42,0.73,4
14887,146.31,14.40,2489,24872.98,5.31,2448.69,6.33,0,0,590.11,15.69,434.82,2.94,152.90,4.57,182.58,5.49,1,3336.56,16.19,0.90,4
14888,207.34,175.67,2489,35248.27,3.55,29864.18,3.39,0,0,901.40,15.28,496.39,2.66,159.92,3.05,152.50,2.90,1,5992.31,27.58,0.96,4
14889,248.26,52.57,2489,42204.34,12.21,8937.47,15.21,0,0,252.03,15.24,482.29,2.97,154.97,10.60,193.06,13.21,1,2105.40,9.23,0.65,4
14890,146.30,14.48,2490,24871.09,3.69,2461.96,3.99,0,0,706.59,12.87,440.21,2.32,155.00,3.18,167.66,3.43,1,5383.19,21.92,0.95,4
14891,207.30,175.68,2490,35241.63,3.07,29865.61,3.25,0,0,908.37,14.52,499.65,2.44,146.37,2.62,155.09,2.78,1,5006.35,28.68,0.96,4
14892,245.38,50.43,2490,41714.66,13.60,8573.10,14.60,0,0,203.71,10.68,466.43,2.54,199.51,11.90,214.23,12.78,0,2359.75,7.06,0.69,4
14893,31.27,89.59,2491,5316.50,10.77,15229.71,14.75,0,0,228.27,12.24,428.66,2.49,154.01,9.34,211.13,12.84,1,1825.35,6.99,0.69,4
14894,146.19,14.42,2491,24851.53,6.34,2451.24,5.92,0,0,501.05,13.36,434.32,2.65,182.41,5.52,170.20,5.12,1,3561.12,15.45,0.90,4
14895,207.37,175.65,2491,35252.14,3.79,29860.67,3.89,0,0,959.08,17.69,497.39,3.15,156.75,3.24,161.35,3.35,1,6489.12,31.11,0.95,4
14896,243.55,42.83,2491,41402.67,14.81,7281.81,12.64,0,0,216.75,10.38,468.38,2.65,238.05,13.00,203.20,11.10,0,1220.85,7.24,0.72,4
14897,244.60,174.71,2491,41582.71,13.40,29700.47,13.52,0,0,221.14,13.02,486.67,2.57,174.51,11.61,176.18,11.75,1,1330.94,7.88,0.66,4
14898,50.72,146.60,2492,8622.62,8.12,24921.94,6.62,0,0,361.30,12.52,429.64,2.26,179.23,7.04,144.76,5.53,1,3269.15,10.84,0.85,4
14899,102.27,36.82,2492,17386.14,11.54,6259.58,12.09,0,0,290.46,13.10,450.99,3.02,196.83,10.10,206.12,10.57,0,3811.54,9.65,0.75,4
14900,146.21,14.43,2492,24855.60,6.31,2452.82,5.84,0,0,499.95,13.41,432.67,2.62,180.51,5.49,166.67,5.03,1,2843.75,13.42,0.90,4
14901,224.56,58.56,2492,38175.23,14.85,9954.76,21.02,0,0,206.59,13.13,463.32,3.24,179.81,13.00,254.56,18.42,1,2324.54,9.06,0.60,4
14902,120.21,249.56,2493,20436.47,12.41,42425.23,14.68,0,0,241.52,15.75,462.14,2.79,146.29,10.86,172.63,12.67,1,0.00,0.00,0.63,5
14903,146.14,14.40,2493,24843.61,5.92,2447.95,6.08,0,0,565.43,15.42,436.72,2.92,166.75,5.17,170.91,5.26,1,4355.75,20.31,0.90,4
14904,243.72,43.75,2493,41431.72,12.83,7436.90,12.62,0,0,208.28,13.03,470.06,2.26,157.08,11.08,154.57,10.93,1,1725.73,7.86,0.65,5
14905,79.14,95.43,2494,13453.26,9.98,16222.88,10.31,0,0,297.33,13.45,436.99,2.60,169.47,8.72,174.74,8.92,1,2076.73,9.89,0.77,4
14906,146.21,14.43,2494,24855.20,7.79,2452.33,7.90,0,0,366.84,12.09,431.42,2.50,181.48,6.78,184.21,6.87,1,1765.42,11.12,0.86,4
14907,150.28,77.41,2494,25547.32,16.04,13158.93,12.42,0,0,227.60,10.33,451.69,2.91,272.70,14.17,211.21,10.97,0,3364.90,7.50,0.73,3
14908,219.76,60.34,2494,37358.78,11.25,10258.45,13.00,0,0,252.33,14.27,466.63,2.62,152.68,9.78,176.35,11.26,1,1381.17,6.66,0.68,4
14909,221.20,52.43,2494,37603.64,16.67,8912.95,13.02,0,0,227.02,13.89,472.69,2.91,209.07,14.52,162.94,11.22,1,1865.15,7.54,0.63,4
14910,80.76,95.65,2495,13729.47,24.65,16261.29,18.35,0,0,146.71,8.39,425.23,2.92,333.06,22.38,249.53,16.44,0,2461.90,5.13,0.59,3
14911,146.22,14.45,2495,24856.75,7.00,2456.04,6.64,0,0,452.64,15.09,437.09,2.63,160.78,6.08,151.57,5.60,1,2517.10,16.11,0.86,4
14912,149.76,81.23,2495,25459.84,11.82,13808.55,13.66,0,0,295.72,12.43,460.56,3.39,216.90,10.42,250.65,12.04,0,4517.52,10.12,0.76,3
14913,219.51,60.91,2495,37316.89,3.05,10354.75,3.52,0,0,1017.94,15.68,472.97,2.85,150.48,2.56,174.96,3.06,1,7437.98,37.15,0.97,4
14914,26.48,81.48,2496,4501.17,2.52,13850.82,2.67,0,0,1428.42,17.50,440.51,3.17,156.84,2.14,166.38,2.29,1,9417.15,50.15,0.98,5
14915,50.68,146.78,2496,8615.29,6.46,24953.03,7.29,0,0,396.44,13.56,428.05,2.32,143.72,5.47,163.32,6.33,1,2521.17,13.24,0.86,4
14916,120.18,249.62,2496,20431.36,7.11,42434.86,8.05,0,0,380.84,14.40,462.41,2.46,144.91,6.28,163.09,6.91,1,0.00,0.00,0.83,4
14917,146.14,14.49,2496,24844.58,5.23,2463.03,5.32,0,0,526.72,12.71,438.89,2.39,166.28,4.57,168.93,4.59,1,4648.02,20.50,0.92,5
14918,145.49,75.60,2496,24732.50,17.14,12851.50,12.16,0,0,205.16,11.54,450.06,2.60,234.12,14.97,165.86,10.54,1,1817.15,6.65,0.66,4
14919,219.46,60.86,2496,37308.91,3.11,10346.47,3.29,0,0,1157.79,18.13,470.41,3.15,150.91,2.61,160.89,2.87,1,6613.12,37.92,0.97,4
14920,244.76,174.60,2496,41608.36,8.58,29682.66,11.69,0,0,278.84,14.32,490.29,2.38,128.08,7.46,174.51,10.09,1,1765.77,7.88,0.73,4
14921,24.14,179.64,2497,4102.97,3.86,30539.18,3.85,0,0,673.64,13.62,425.48,2.21,147.12,3.43,144.76,3.23,1,3731.62,21.34,0.94,5
14922,26.41,81.52,2497,4489.35,3.27,13858.07,3.66,0,0,914.77,14.82,432.58,2.71,153.82,2.78,172.78,3.16,1,6451.92,33.80,0.96,4
14923,50.81,146.65,2497,8637.36,6.75,24930.56,9.01,0,0,314.95,12.14,429.07,2.11,135.54,6.03,179.58,7.80,1,2289.98,10.95,0.82,4
14924,120.13,249.59,2497,20422.79,11.73,42430.98,11.12,0,0,268.91,13.60,456.83,2.65,178.02,10.22,168.50,9.61,1,0.00,0.00,0.72,4
14925,146.23,14.37,2497,24859.19,5.48,2443.68,5.97,0,0,540.81,14.85,440.48,2.65,153.17,4.77,166.58,5.15,1,3655.21,18.30,0.90,4
14926,200.48,28.11,2497,34081.09,8.14,4778.57,7.60,0,0,307.02,10.75,448.09,2.09,178.44,7.06,166.82,6.65,1,2062.75,10.13,0.84,4
14927,219.46,60.80,2497,37307.56,2.14,10335.29,2.33,0,0,1149.81,12.56,470.21,2.19,148.50,1.79,163.48,2.03,1,5955.65,32.01,0.98,5
14928,50.70,146.74,2498,8618.97,7.22,24945.98,6.59,0,0,399.78,13.94,429.94,2.35,158.47,6.22,144.73,5.69,1,2573.79,11.02,0.85,4
14929,81.56,91.45,2498,13865.95,9.22,15545.90,12.67,0,0,263.40,11.51,436.98,2.48,161.68,7.94,222.63,11.05,1,3308.75,9.88,0.77,4
14930,120.34,249.66,2498,20457.43,9.95,42441.98,8.39,0,0,348.30,15.07,451.00,2.72,176.10,8.61,147.86,7.13,1,0.00,0.00,0.79,5
14931,146.15,14.38,2498,24845.13,4.99,2444.38,5.26,0,0,589.51,14.65,438.00,2.59,154.45,4.39,162.12,4.52,1,3015.04,18.26,0.92,4
14932,198.28,29.03,2498,33707.69,9.43,4935.04,10.55,0,0,300.58,10.80,460.15,2.67,202.07,8.27,226.01,9.25,0,4010.46,8.92,0.82,4
14933,219.37,60.85,2498,37293.48,2.54,10344.15,2.69,0,0,1169.95,15.91,476.49,2.59,141.26,2.11,151.86,2.37,1,5639.31,33.62,0.97,5
14934,50.68,146.70,2499,8614.94,8.23,24938.37,8.17,0,0,314.10,12.30,430.68,2.20,161.00,7.10,159.67,7.04,1,3200.83,13.29,0.82,4
14935,84.57,92.50,2499,14376.24,24.47,15724.74,18.20,0,0,146.23,10.33,437.13,2.78,267.00,21.54,198.66,16.03,0,2702.77,5.08,0.53,3
14936,146.18,14.41,2499,24850.82,4.38,2449.79,5.17,0,0,592.83,13.21,441.00,2.43,151.35,3.85,177.92,4.47,1,3955.85,19.10,0.93,4
14937,209.37,26.32,2499,35592.18,7.16,4475.15,7.80,0,0,405.41,10.90,451.38,2.70,205.17,6.28,223.27,6.84,0,4476.38,13.31,0.89,4
14938,219.46,60.85,2499,37308.24,2.92,10344.71,2.78,0,0,1032.85,14.61,474.59,2.51,157.96,2.49,151.26,2.45,1,6218.58,40.66,0.97,4
14939,244.72,174.58,2499,41602.62,12.99,29678.15,13.51,0,0,244.40,14.29,488.37,2.80,170.43,11.28,177.13,11.71,1,2391.50,8.60,0.66,4
14940,50.56,146.67,2500,8594.89,7.34,24933.97,8.20,0,0,347.85,14.62,423.33,2.24,126.67,5.61,147.31,6.95,1,820.31,10.94,0.80,4
14941,120.24,249.40,2500,20441.43,10.42,42398.26,10.34,0,0,267.19,13.38,445.17,2.37,159.35,9.04,157.77,8.84,1,0.00,0.00,0.73,4
14942,146.20,14.44,2500,24854.42,4.17,2454.18,4.22,0,0,661.07,12.13,428.93,2.40,174.46,3.63,176.51,3.66,1,4351.02,21.83,0.95,4
14943,209.34,27.40,2500,35587.36,9.66,4657.54,8.45,0,0,354.48,15.03,453.05,2.74,174.42,8.36,152.00,7.17,1,3374.67,13.38,0.79,4
14944,219.51,60.86,2500,37316.34,9.63,10346.07,12.67,0,0,320.65,17.12,475.98,2.99,133.49,7.60,180.84,10.99,1,2900.04,11.93,0.71,5
14945,244.73,174.73,2500,41604.08,14.60,29704.34,13.58,0,0,237.03,14.51,488.08,2.89,183.09,12.70,170.25,11.80,1,3022.88,8.93,0.64,4
14946,50.69,146.82,2501,8618.00,9.49,24959.25,10.90,0,0,287.82,12.53,422.35,2.54,167.33,8.24,192.25,9.49,1,1476.12,10.06,0.78,4
14947,120.32,249.44,2501,20454.86,17.46,42404.23,11.43,0,0,205.57,12.85,447.96,2.48,213.28,15.16,136.74,9.24,1,0.00,0.00,0.63,4
14948,146.26,14.41,2501,24863.59,3.69,2449.01,3.82,0,0,767.02,13.76,439.28,2.46,157.35,3.19,162.95,3.28,1,5231.35,29.66,0.95,4
14949,181.71,194.53,2501,30891.23,8.04,33070.66,7.82,0,0,423.52,15.20,477.72,2.89,171.78,6.98,166.72,6.73,1,2105.58,14.52,0.84,4
14950,244.75,174.53,2501,41607.64,14.43,29669.69,11.58,0,0,250.27,15.65,488.28,2.74,176.02,12.50,138.66,9.38,1,1294.96,7.28,0.64,4
14951,50.60,146.49,2502,8601.46,8.43,24903.33,8.75,0,0,342.63,15.71,419.34,2.46,137.29,6.85,143.09,7.18,1,968.46,12.94,0.78,5
14952,146.08,14.52,2502,24833.35,4.23,2468.15,4.35,0,0,732.31,14.83,441.91,2.70,160.56,3.72,164.53,3.74,1,4466.98,23.59,0.94,4
14953,50.71,146.66,2503,8620.73,8.61,24931.39,8.54,0,0,315.46,12.44,417.08,2.33,167.38,7.46,165.87,7.38,1,2107.52,10.14,0.81,4
14954,146.22,14.36,2503,24857.34,3.39,2441.70,3.66,0,0,708.61,12.42,449.14,2.13,148.53,2.96,159.57,3.14,1,5585.02,26.88,0.96,4
14955,146.30,14.42,2504,24871.06,3.56,2451.63,3.64,0,0,784.38,13.19,449.55,2.42,162.26,3.08,165.59,3.13,1,6465.94,31.56,0.96,4
14956,50.65,146.80,2505,8610.51,7.95,24955.31,8.48,0,0,345.15,13.96,431.30,2.42,149.84,6.75,160.73,7.38,1,2471.27,12.64,0.81,5
14957,146.23,14.49,2505,24859.37,3.71,2464.04,3.61,0,0,716.45,11.90,443.92,2.26,171.34,3.23,166.17,3.10,1,5069.77,24.98,0.96,4
14958,231.01,44.36,2505,39272.47,12.21,7540.56,12.07,0,0,238.17,11.58,464.82,2.53,192.99,10.66,190.76,10.52,0,2272.19,7.52,0.73,4
14959,244.73,174.55,2505,41604.95,17.02,29674.32,14.45,0,0,211.68,14.94,482.16,2.86,184.70,14.78,156.31,12.32,1,390.79,6.30,0.57,4
14960,50.62,146.46,2506,8605.32,15.80,24898.83,17.01,0,0,209.75,15.65,427.75,2.96,161.98,13.59,174.65,14.71,1,1154.75,8.69,0.55,5
14961,91.54,98.88,2506,15562.49,9.81,16808.79,11.40,0,0,265.88,10.22,442.00,2.50,196.39,8.59,228.27,9.99,0,2955.98,8.04,0.80,4
14962,146.16,14.40,2506,24846.77,4.44,2447.34,4.59,0,0,669.77,13.77,442.87,2.61,165.99,3.88,171.28,3.97,1,4664.96,25.24,0.94,4
14963,10.74,61.98,2507,1825.53,7.15,10536.31,6.52,0,0,427.23,12.25,416.77,2.54,191.45,6.23,174.79,5.71,1,4011.94,12.85,0.89,4
14964,89.32,98.77,2507,15183.86,10.31,16791.03,9.98,0,0,307.47,13.35,437.74,2.71,182.31,8.97,176.44,8.69,1,1813.50,11.42,0.78,4
14965,146.22,14.48,2507,24857.30,3.13,2461.78,3.33,0,0,788.05,11.95,438.42,2.18,158.41,2.72,168.07,2.86,1,5014.79,24.42,0.97,4
14966,87.62,98.93,2508,14895.97,13.77,16818.24,11.17,0,0,226.44,9.19,420.73,2.54,261.80,12.14,212.39,9.86,0,1755.02,6.61,0.77,4
14967,146.19,14.44,2508,24851.80,3.99,2454.71,4.59,0,0,701.73,13.94,437.21,2.58,154.49,3.50,177.27,3.97,1,4589.02,22.31,0.94,4
14968,205.63,100.62,2508,34957.31,9.01,17104.87,10.24,0,0,356.95,17.64,472.95,2.89,136.94,7.40,157.64,8.74,1,1725.00,12.56,0.75,5
14969,146.10,14.44,2509,24836.93,6.35,2454.56,8.11,0,0,439.59,15.80,443.30,2.71,138.15,5.85,173.72,7.00,1,3555.67,11.47,0.84,4
14970,16.48,172.51,2510,2800.82,21.33,29327.41,17.64,0,0,153.71,10.98,410.48,2.64,229.82,18.68,190.09,15.44,1,1505.77,4.80,0.54,3
14971,83.07,101.46,2510,14122.13,10.24,17248.14,11.48,0,0,232.73,10.37,442.77,2.20,176.71,8.96,197.98,10.01,1,2358.79,6.67,0.76,4
14972,146.18,14.34,2510,24851.27,6.93,2438.34,7.51,0,0,431.33,13.69,436.37,2.69,167.68,6.05,181.53,6.52,1,3270.88,12.85,0.87,4
14973,84.25,98.60,2511,14322.41,22.20,16761.67,17.88,0,0,125.89,6.54,425.70,2.37,331.05,20.19,268.12,16.06,0,2521.23,4.30,0.62,3
14974,146.24,14.42,2511,24861.25,4.59,2451.38,4.76,0,0,673.04,15.42,438.81,2.69,153.55,3.98,158.69,4.06,1,4127.79,19.33,0.93,4
14975,146.26,14.40,2512,24864.19,5.33,2448.75,5.90,0,0,503.37,13.26,434.03,2.42,155.16,4.62,171.53,5.09,1,2431.90,19.66,0.91,5
14976,85.14,99.35,2513,14473.99,28.91,16889.90,24.32,0,0,123.98,8.12,427.18,3.13,341.99,26.59,290.07,21.99,0,2755.33,4.84,0.49,4
14977,146.19,14.39,2513,24852.52,4.30,2446.12,4.00,0,0,658.41,13.56,440.82,2.32,159.76,3.74,147.65,3.36,1,3972.58,23.23,0.94,4
14978,179.58,122.09,2513,30527.77,8.36,20754.60,8.17,0,0,376.80,16.76,471.07,2.64,142.27,6.89,142.44,7.42,1,2293.81,11.69,0.78,5
14979,82.64,101.37,2514,14049.40,7.84,17233.42,6.89,0,0,378.48,11.86,442.32,2.41,192.19,6.83,168.78,5.97,1,2823.08,12.73,0.87,4
14980,146.13,14.31,2514,24842.50,5.20,2432.71,5.91,0,0,577.93,14.67,436.90,2.76,157.78,4.58,178.67,5.13,1,3737.08,21.09,0.91,4
14981,82.85,101.90,2515,14084.15,5.13,17323.21,6.05,0,0,482.07,12.49,444.59,2.31,152.61,4.53,179.43,5.26,1,3337.77,13.72,0.91,4
14982,146.22,14.33,2515,24858.02,5.47,2436.02,5.55,0,0,533.62,13.62,440.86,2.53,164.48,4.76,166.61,4.79,1,3447.29,19.03,0.91,4
14983,33.30,104.01,2516,5660.37,8.92,17682.41,6.95,0,0,372.89,14.87,428.30,2.53,172.52,7.72,137.23,6.53,1,2416.50,11.04,0.82,5
14984,83.39,101.74,2516,14175.68,11.01,17295.72,12.98,0,0,262.62,13.30,448.78,2.72,166.63,9.52,196.74,11.30,1,2787.62,9.54,0.72,5
14985,146.18,14.37,2516,24849.76,5.69,2443.24,5.52,0,0,528.50,12.96,432.69,2.56,178.08,4.95,172.72,4.79,1,4240.62,16.18,0.92,4
14986,87.76,100.35,2517,14919.09,11.30,17059.88,9.33,0,0,294.10,13.21,441.11,2.61,192.99,9.83,159.12,8.04,1,2297.60,10.59,0.77,4
14987,146.15,14.40,2517,24845.15,5.95,2448.25,6.09,0,0,446.69,12.62,437.18,2.31,161.90,5.21,165.03,5.24,1,2592.62,12.37,0.89,4
14988,146.22,14.45,2518,24857.90,4.30,2457.27,4.56,0,0,666.10,13.68,446.36,2.53,160.51,3.74,170.10,3.93,1,4787.54,22.54,0.94,4
14989,169.37,238.36,2518,28792.81,11.80,40520.64,15.19,0,0,231.75,15.24,475.26,2.63,134.42,9.62,176.19,13.12,1,1751.23,9.06,0.62,5
